,model_type,model_weights,model_name,batch_size,num_epochs,do_img_augment,loss_basis,do_tensorboard,save_model,loss,raw_loss,sigmoid_loss,raw_binary_accuracy_from_raw,raw_raw_values,raw_sigmoids,raw_contorted_binary_crossentropy,sigmoid_acc
53,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
54,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
55,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
56,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
57,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
58,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
59,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
60,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
61,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
62,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
63,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
64,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
65,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
66,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
67,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
68,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
69,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
70,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
71,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
72,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
73,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
74,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
75,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
76,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
77,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
78,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
79,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
80,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
81,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
82,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
83,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
84,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
85,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
86,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
87,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
88,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
89,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
90,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
91,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
92,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
93,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
94,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
95,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
96,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
97,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
98,InceptionV3,imagenet,undefined,16,50,True,sigmoid,True,None,,,,,,,,
99,InceptionV3,imagenet,undefined,16,50,True,raw,True,None,,,,,,,,
